,Date,User,Tweet,Like,Location,Reply,Retweeet,Classification
0,2022-10-21 20:30:29+00:00,Ligne3_RATP,"❌ En raison d'un accident grave de personne à Saint Lazare, le trafic est interrompu entre Villiers et Opéra, la reprise est estimée vers 23h30 #Ligne3 #RATP",0,,1,0,negatif
1,2022-10-21 20:27:56+00:00,Alexdessinateur,#dessin @CourrierPicard du 21.10.2022 : #Castex nouveau pdg de la #RATP ! https://t.co/evlwbs7DpL,9,,2,2,neutre
2,2022-10-21 20:24:19+00:00,Next_Alert,❌ Le trafic est interrompu entre Chatillon Montrouge et Montparnasse Bienvenüe. Reprise estimée du trafic vers 23:00 #Ligne13 #RATP RT @Ligne13_RATP,0,"Paris, France",0,0,negatif
3,2022-10-21 20:24:03+00:00,Ligne13_RATP,❌ Le trafic est interrompu entre Chatillon Montrouge et Montparnasse Bienvenüe. Reprise estimée du trafic vers 23:00 #Ligne13 #RATP,1,,1,0,negatif
4,2022-10-21 20:04:57+00:00,Next_Alert,"⚠️Fin d'incidents, le trafic reprend progressivement sur l’ensemble de la #Ligne2 #RATP RT @Ligne2_RATP",0,"Paris, France",0,0,positif
5,2022-10-21 20:04:10+00:00,Ligne2_RATP,"⚠️Fin d'incidents, le trafic reprend progressivement sur l’ensemble de la #Ligne2 #RATP",0,,1,0,positif
6,2022-10-21 20:01:31+00:00,Next_Alert,❌ Le trafic est interrompu entre Chatillon Montrouge et Porte de Vanves. Reprise estimée du trafic vers 22:30 #Ligne13 #RATP RT @Ligne13_RATP,0,"Paris, France",0,0,negatif
7,2022-10-21 20:00:22+00:00,Ligne13_RATP,❌ Le trafic est interrompu entre Chatillon Montrouge et Porte de Vanves. Reprise estimée du trafic vers 22:30 #Ligne13 #RATP,3,,1,0,negatif
8,2022-10-21 19:48:56+00:00,Next_Alert,❌ Le trafic est interrompu sur l'ensemble de la ligne. Reprise estimée du trafic vers 22:15 #Ligne2 #RATP RT @Ligne2_RATP,0,"Paris, France",0,0,negatif
9,2022-10-21 19:48:34+00:00,Ligne2_RATP,❌ Le trafic est interrompu sur l'ensemble de la ligne. Reprise estimée du trafic vers 22:15 #Ligne2 #RATP,0,,4,0,negatif
10,2022-10-21 19:46:08+00:00,gustave213,@EnModeMacaron petite bite à côté de #pouyanne et #carlostavares !!! mdr #castex #ratp #Salaires #smic #TotalEnergiesCAFCC #stellantis,0,,0,0,negatif
11,2022-10-21 19:39:54+00:00,AlbertoTeyant,Je soutien la candidature de @JeanCASTEX en tant que futur patron de la #RATP . Un homme politique de terrain et un homme de dialogue. @RATPgroup @ClientsRATP @PotierFred @RATPrecrute @MarleneSchiappa @JCColasRoy @LaurenceVanceu @CarolineJanvier @EnMarcheParis @ZITOUNISouad3,0,,0,0,negatif
12,2022-10-21 19:21:33+00:00,Next_Alert,"❌ En raison d'un accident grave de personne à Saint Lazare, le trafic est interrompu entre Villiers et Opéra, la reprise est estimée vers 22h30 #Ligne3 #RATP RT @Ligne3_RATP",1,"Paris, France",0,0,negatif
13,2022-10-21 19:20:49+00:00,Ligne3_RATP,"❌ En raison d'un accident grave de personne à Saint Lazare, le trafic est interrompu entre Villiers et Opéra, la reprise est estimée vers 22h30 #Ligne3 #RATP",1,,2,0,negatif
14,2022-10-21 19:20:24+00:00,Next_Alert,❌ Le trafic est interrompu entre Barbès Rochechouart et Charles de Gaulle Etoile. Reprise estimée du trafic vers 22h00 #Ligne2 #RATP RT @Ligne2_RATP,0,"Paris, France",0,0,negatif
15,2022-10-21 19:20:11+00:00,Ligne2_RATP,❌ Le trafic est interrompu entre Barbès Rochechouart et Charles de Gaulle Etoile. Reprise estimée du trafic vers 22h00 #Ligne2 #RATP,0,,1,0,negatif
16,2022-10-21 19:16:58+00:00,Next_Alert,"❌ En raison d'un accident grave de personne à Saint Lazare, le trafic est interrompu entre Pereire et Opéra, la reprise est estimée vers 22h30 #Ligne3 #RATP RT @Ligne3_RATP",0,"Paris, France",0,0,negatif
17,2022-10-21 19:16:33+00:00,Ligne3_RATP,"❌ En raison d'un accident grave de personne à Saint Lazare, le trafic est interrompu entre Pereire et Opéra, la reprise est estimée vers 22h30 #Ligne3 #RATP",3,,2,1,negatif
18,2022-10-21 19:14:49+00:00,MyTransitParis,"Transport, logement, nourriture… Le gouvernement lance 22 chantiers écologiques autour de la vie quotidienne - Le Parisien #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/pEYv1eez1A",0,"Paris, France",0,0,neutre
19,2022-10-21 19:14:48+00:00,MyTransitParis,Les Transports Delanchy reprennent Le Bélier - https://t.co/YL3bHChfmE #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/wL6fhwbQ4K,0,"Paris, France",0,0,neutre
20,2022-10-21 19:14:48+00:00,MyTransitParis,Le recours massif au télétravail le vendredi perturbe le réseau de transport en Ile-de-France - L'Obs #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/KA1p644TXU,0,"Paris, France",0,0,positif
21,2022-10-21 19:14:47+00:00,MyTransitParis,Perspectives pour la ligne du transport express régional Laon-Paris - Sénat #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/SXT2S2V61z,0,"Paris, France",0,0,neutre
22,2022-10-21 19:14:47+00:00,MyTransitParis,Transport aérien : l'aéroport de Conakry n'est pas certifié (ministre Yaya Sow) - guineenews #Paris #Transport #RATP #RER #Transilien #SNFC https://t.co/jTcknAB8DP,0,"Paris, France",0,0,neutre
23,2022-10-21 18:51:48+00:00,Next_Alert,✅ Le trafic est rétabli sur la #Ligne6 #RATP. RT @Ligne6_RATP,0,"Paris, France",0,0,positif
24,2022-10-21 18:50:40+00:00,Next_Alert,✅ Le trafic est rétabli sur la #Ligne7 #RATP. RT @Ligne7_RATP,0,"Paris, France",0,0,positif
25,2022-10-21 18:50:38+00:00,Ligne6_RATP,✅ Le trafic est rétabli sur la #Ligne6 #RATP.,1,,0,0,positif
26,2022-10-21 18:50:13+00:00,Ligne7_RATP,✅ Le trafic est rétabli sur la #Ligne7 #RATP.,1,,0,0,positif
27,2022-10-21 18:49:54+00:00,CBriolais,A celles et ceux qui critiquaient le #programme de l'#aec sur notre sortie de #europe notamment pour en finir avec la #privatisation des #transport #macron vient de sortir pour #energie. Alors on attends la même pour la #ratp /#sncf sortons de l'Europe. #lfi @CgtRatp @BaseRatp,1,"Yvelines, Ile-de-France",0,1,positif
